===== METRIC RESULTS =====

--- Partition 1 ---
File=./adjClust_results/results/adjclust_clustering_upper_merge_1.tsv | type=1 | weighted=0 | Metric=-270.50000
File=./adjClust_results/results/adjclust_clustering_upper_merge_1.tsv | type=1 | weighted=1 | Metric=-2179.50000
File=./adjClust_results/results/adjclust_clustering_upper_merge_1.tsv | type=1 | weighted=2 | Metric=-33.59722
File=./adjClust_results/results/adjclust_clustering_upper_merge_1.tsv | type=2 | weighted=0 | Metric=-286.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_1.tsv | type=2 | weighted=1 | Metric=-2319.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_1.tsv | type=2 | weighted=2 | Metric=-35.31944
File=./adjClust_results/results/classic_clustering_upper_merge_1.tsv | type=1 | weighted=0 | Metric=2231.69897
File=./adjClust_results/results/classic_clustering_upper_merge_1.tsv | type=1 | weighted=1 | Metric=215816.13271
File=./adjClust_results/results/classic_clustering_upper_merge_1.tsv | type=1 | weighted=2 | Metric=23.13248
File=./adjClust_results/results/classic_clustering_upper_merge_1.tsv | type=2 | weighted=0 | Metric=92535.00000
File=./adjClust_results/results/classic_clustering_upper_merge_1.tsv | type=2 | weighted=1 | Metric=9454973.00000
File=./adjClust_results/results/classic_clustering_upper_merge_1.tsv | type=2 | weighted=2 | Metric=906.65401
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_1.tsv | type=1 | weighted=0 | Metric=-595.50000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_1.tsv | type=1 | weighted=1 | Metric=-2993.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_1.tsv | type=1 | weighted=2 | Metric=-118.58333
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_1.tsv | type=2 | weighted=0 | Metric=-611.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_1.tsv | type=2 | weighted=1 | Metric=-3086.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_1.tsv | type=2 | weighted=2 | Metric=-121.16667
